1,97,thunder,38000,3,16.75,m
2,156,lightening,40000,5,17,m
3,56,sam,10000,1,12,m
4,139,zap,12000,8,16,f
5,65,thor,25000,4,16.25,m
6,184,boor,35000,8,16.25,f
7,88,burrow,35000,5,16.5,m
8,182,stally,12000,17,16.75,f
9,101,solly,22000,4,17.25,m
10,135,zoo,25000,6,15.25,f
11,35,woopie,40000,7,16.75,m
12,39,simps,25000,7,15.75,f
13,198,tom,4500,14,16,f
14,107,tim,19900,6,15.5,m
15,148,tam,45000,3,15.75,f
16,102,drac,45000,6,16.75,m
17,96,drogon,48000,6,16.5,m
18,71,zakaria,15500,12,15.75,f
19,28,vakaria,8500,7,16.25,f
20,30,kreen,22000,7,16.5,f
21,31,candia,35000,5,16.25,m
22,60,collos,16000,7,16.25,m
23,23,craol,16000,3,16.25,m
24,115,craos,15000,7,16.25,f
25,234,woo,33000,4,16.5,m
26,132,queen,20000,14,16.5,m
27,69,sheeba,25000,6,17,m
28,141,susha,30000,8,16.75,m
29,63,shasha,50000,6,16.75,m
30,164,dhishkyao,1100,19,16.25,f
31,178,dhoop,15000,1,14.25,f
32,4,thum,45000,14,17,m
33,211,dhoom,2000,20,16,f
34,89,baadal,20000,3,15.75,f
35,57,chetak,45000,5,16.5,m
36,200,chamak,20000,12,17,m
37,38,conolia,50000,7,17.25,m
38,2,zoro,50000,8,16.5,m
39,248,deep,39000,11,17.25,m
40,27,beauty,20000,11,16.75,m
41,19,boop,12000,6,16.5,f
42,129,bonzai,15000,2,15,f
43,13,bota,27500,5,16,f
44,206,vagab,12000,2,17,f
45,236,forgo,6000,1,14,f
46,179,farago,15000,1,14.5,m
47,232,bargo,60000,13,16.75,m
48,152,gobar,50000,4,16.5,m
49,36,gondola,30000,9,16.5,m
50,249,goda,40000,7,17.25,m
